Study ID;Title;Educational Level;Course Context;Instructional Objective;Additional Notes;;;;;;;;;;;;;;;;;;;
32;ChatGPT and Software Testing Education: Promises & Perils;Undergraduate / Higher Education;Other / specify;Other / specify;Enabling students to use ChatGPT as a learning support tool for software testing practices.;;;;;;;;;;;;;;;;;;;
33;ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions;Undergraduate / Higher Education;Other / specify;Other / specify;Enabling students to use ChatGPT ethically and responsibly to support learning.;;;;;;;;;;;;;;;;;;;
34;ChatGPT, Can You Generate Solutions for my Coding Exercises? An Evaluation on its Effectiveness in an undergraduate Java Programming Course.;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Other / specify;Enabling students to use ChatGPT to support code solution generation and exercise comprehension.;;;;;;;;;;;;;;;;;;;
35;CodeLens: A Generative AI Framework for Automated Feedback on SQL Assignments;Undergraduate & Postgraduate;Computing (databases, SQL);Code quality and style assessment;;;;;;;;;;;;;;;;;;;;
36;CodeTailor: LLM-Powered Personalized Parsons Puzzles for Engaging Support While Learning Programming;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
37;Cognitive Complexity and Graph Convolutional Approach Over Control Flow Graph for Software Defect Prediction;Undergraduate / Higher Education;Other / specify;Other / specify;The main objective is to create software defect prediction models that outperform existing classification models.;;;;;;;;;;;;;;;;;;;
38;Collaborative recommendations in online judges using autoencoder neural networks;High school;Other / specify;Preparation for certifications or specific competencies;;;;;;;;;;;;;;;;;;;;
39;Combating ChatGPT-Based Programming Test Cheating — An Evaluation Using Public Problems;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Other / specify;Enabling educators to create more challenging assessments that cannot be trivially solved by ChatGPT.;;;;;;;;;;;;;;;;;;;
40;Comparative Studies: Leveraging Large Language Model In Theoritical and Practical Assessment Sample Question-Answer Bank on Programming Related Subjects;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Other / specify;Enabling instructors to create assessments efficiently and accurately using LLMs to generate questions and automatic solutions.;;;;;;;;;;;;;;;;;;;
41;Comparing computational algorithms for team formation in the classroom: a classroom experience;Undergraduate / Higher Education;Other / specify;Other / specify;Assessing how Belbin and Myers-Briggs heuristics influence team performance and students' perceived satisfaction.;;;;;;;;;;;;;;;;;;;
42;Creating a Trajectory for Code Writing: Algorithmic Reasoning Tasks;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
43;CS1-LLM: Integrating LLMs into CS1 Instruction;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Not specified;;;;;;;;;;;;;;;;;;;;
44;Data Leakage in Notebooks: Static Detection and Better Processes;Postgraduate;Other / specify;Other / specify;The objective is to ensure reliable evaluation of machine-learning models by detecting data leakage in notebooks.;;;;;;;;;;;;;;;;;;;
45;DEMAx Tool Based on an Improved Model for Semiautomatic C/C++ Source Code Assessment;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Code quality and style assessment;;;;;;;;;;;;;;;;;;;;
46;Desirable Characteristics for AI Teaching Assistants in Programming Education;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Other / specify;The objective is to provide a personalized learning experience by adjusting difficulty level and feedback type based on student needs.;;;;;;;;;;;;;;;;;;;
47;Enhancing Programming Education with Open-Source Generative AI Chatbots;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Other / specify;Facilitating programming learning through an AI chatbot that helps students understand errors and provides alternative solutions.;;;;;;;;;;;;;;;;;;;
48;Enhancing Programming Error Messages in Real Time with Generative AI;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);"Introduction to programming and logic; Code quality and style assessment";;;;;;;;;;;;;;;;;;;;
