#;Title;Authors;Year (source);Venue;DOI;Source URL
16;AI-Tutoring in Software Engineering Education Experiences with Large Language Models in Programming Assessments;Frankford, Eduard and Sauerwein, Clemens and Bassner, Patrick and Krusche, Stephan and Breu, Ruth;2024;Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET 2024);10.1145/3639474.3640061;https://doi.org/10.1145/3639474.3640061
17;An AI-based Approach for Grading Students’ Collaboration;Tomić, Bojan B. and Kijevčanin, Anisja D. and Ševarac, Zoran V. and Jovanović, Jelena M;2023;IEEE Transactions on Learning Technologies;10.1109/TLT.2022.3225432;https://doi.org/10.1109/TLT.2022.3225432
18;An Evaluation of code2vec Embeddings for Scratch;Fein, Benedikt and Graßl, Isabella and Beck, Florian and Fraser, Gordon;2022;Proceedings of the 15th International Conference on Educational Data Mining (EDM 2022);10.5281/zenodo.6853103;https://doi.org/10.5281/zenodo.6853103
19;Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments;Grandel, Skyler and Schmidt, Douglas C. and Leach, Kevin;2024;Proceedings of the ACM Conference (ACM DL);10.1145/3643795.3648375;https://doi.org/10.1145/3643795.3648375
20;Artificial Intelligence in the Assessment Process of MOOCs using a cloud-computing ecosystem;Reátegui, José L. and Herrera, Pablo C.;2021;2021 IEEE International Conference on Engineering, Technology & Education (TALE);10.1109/TALE52509.2021.9678911;https://doi.org/10.1109/TALE52509.2021.9678911
21;Automated Assessment of Student Self-explanation During Source Code Comprehension;Chapagain, Jeevan and Tamang, Lasang and Banjade, Rabin and Oli, Priti and Rus, Vasile;2022;The International FLAIRS Conference Proceedings;10.32473/flairs.v35i.130540;https://doi.org/10.32473/flairs.v35i.130540
22;Automated Assessment of Student Self-Explanation in Code Comprehension Using Pre-Trained Language Models;Jeevan Chapagain and Vasile Rus;2025;Proceedings of the AAAI Conference on Artificial Intelligence;10.1609/aaai.v39i28.35169;https://doi.org/10.1609/aaai.v39i28.35169
23;Automated Grading Method of Python Code Submissions Using Large Language Models and Machine Learning;Mariam Mahdaoui and Said Nouh and My Seddiq El Kasmi Alaoui and Khalid Kandali;2025;Information;10.3390/info16080674;https://doi.org/10.3390/info16080674
24;Automated Grading Through Contrastive Learning: A Gradient Analysis and Feature Ablation Approach;Mateo Sokač and Mario Fabijanić and Igor Mekterović and Leo Mršić;2025;Machine Learning and Knowledge Extraction;10.3390/make7020041;https://doi.org/10.3390/make7020041
25;Automatic Creativity Measurement in Scratch Programs Across Modalities;Kovalkov, Anastasia and Paaßen, Benjamin and Segal, Avi and Pinkwart, Niels and Gal, Kobi;2021;IEEE Transactions on Learning Technologies;10.1109/TLT.2022.3144442;https://doi.org/10.1109/TLT.2022.3144442
26;Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses;Duong, Ta Nguyen Binh and Meng, Chai Yi;2024;2024 IEEE Global Engineering Education Conference (EDUCON);10.1109/EDUCON60312.2024.10578839;https://doi.org/10.1109/EDUCON60312.2024.10578839
27;Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation;Phung, Tung and Pǎdurean, Victor-Alexandru and Singh, Anjali and Brooks, Christopher and Cambronero, José and Gulwani, Sumit and Singla, Adish and Soares, Gustavo;2024;Proceedings of the 14th Learning Analytics and Knowledge Conference (LAK '24);10.1145/3636555.3636846;https://doi.org/10.1145/3636555.3636846
28;BeGrading: large language models for enhanced feedback in programming education;Mina Yousef and Kareem Mohamed and Walaa Medhat and Ensaf Hussein Mohamed and Ghada Khoriba and Tamer Arafa;2025;Neural Computing and Applications;10.1007/s00521-024-10449-y;https://doi.org/10.1007/s00521-024-10449-y
29;Beyond Generating Code: Evaluating GPT on a Data Visualization Course;Chen, Zhutian and Zhang, Chenyang and Wang, Qianwen and Troidl, Jakob and Warchol, Simon and Beyer, Johanna and Gehlenborg, Nils and Pfister, Hanspeter;2023;IEEE VIS Workshop on Visualization Education, Literacy, and Activities (EduVis);10.1109/EduVis60792.2023.00009;https://doi.org/10.1109/EduVis60792.2023.00009
30;Can Language Models Employ the Socratic Method? Experiments with Code Debugging;Al-Hossami, Erfan and Bunescu, Razvan and Smith, Justin and Teehan, Ryan;2024;Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1 (SIGCSE 2024);10.1145/3626252.3630799;https://doi.org/10.1145/3626252.3630799
31;Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science?;Liu, Suqing and Yu, Zezhu and Huang, Feiran and Bulbulia, Yousef and Bergen, Andreas and Liut, Michael;2024;Proceedings of ITiCSE 2024;10.1145/3649217.3653554;https://doi.org/10.1145/3649217.3653554
32;ChatGPT and Software Testing Education: Promises & Perils;Jalil, Sajed and Rafi, Suzzana and LaToza, Thomas D. and Moran, Kevin and Lam, Wing;2023;Proceedings of the 2023 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW);10.1109/ICSTW58534.2023.00078;https://doi.org/10.1109/ICSTW58534.2023.00078
33;ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions;Joshi, Ishika and Budhiraja, Ritvik and Dev, Harshal and Kadia, Jahnvi and Ataullah, Mohammad Osama and Mitra, Sayan and Akolekar, Harshal D. and Kumar, Dhruv;2024;Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1;10.1145/3626252.3630803;https://doi.org/10.1145/3626252.3630803
34;ChatGPT, Can You Generate Solutions for my Coding Exercises? An Evaluation on its Effectiveness in an undergraduate Java Programming Course.;Ouh, Eng Lieh and Gan, Benjamin Kok Siew and Jin Shim, Kyong and Wlodkowski, Swavek;2023;Proceedings of the 2023 Conference on Innovation and Technology in Computer Science Education V. 1;10.1145/3587102.3588794;https://doi.org/10.1145/3587102.3588794
35;CodeLens: A Generative AI Framework for Automated Feedback on SQL Assignments;Abdulrahman Alrabah and Abdussalam Alawini;2025;Proceedings of the 4th International Workshop on Data Systems Education (DataEd@SIGMOD 2025);10.1145/3735091.3737534;https://doi.org/10.1145/3735091.3737534
36;CodeTailor: LLM-Powered Personalized Parsons Puzzles for Engaging Support While Learning Programming;Hou, Xinying and Wu, Zihan and Wang, Xu and Ericson, Barbara J.;2024;Proceedings of the Eleventh ACM Conference on Learning @ Scale (L@S '24);10.1145/3657604.3662032;https://doi.org/10.1145/3657604.3662032
