#;Title;Authors;Year (source);Venue;DOI;Source URL
56;Evaluation of LLM Tools for Feedback Generation in a Course on Concurrent Programming;Iria Estévez-Ayres and Patricia Callejo and Miguel Ángel Hombrados-Herrera and Carlos Alario-Hoyos and Carlos Delgado Kloos;2025;International Journal of Artificial Intelligence in Education;10.1007/s40593-024-00406-0;https://doi.org/10.1007/s40593-024-00406-0
57;Exercise Generation and Student Cognitive Ability Research Based on ChatGPT and Rasch Model;Niu, Yanmin and Xue, Han;2023;IEEE Access;10.1109/ACCESS.2023.3325741;https://doi.org/10.1109/ACCESS.2023.3325741
58;Explainable Artificial Intelligence for Workflow Verification in Visual IoT/Robotics Programming Language Environment;De Luca, Gennaro and Chen, Yinong;2020;Journal of Artificial Intelligence and Technology;10.37965/jait.2020.0023;https://doi.org/10.37965/jait.2020.0023
59;Explaining Code with a Purpose: An Integrated Approach for Developing Code Comprehension and Prompting Skills;Denny, Paul and Smith, David H. and Fowler, Max and Prather, James and Becker, Brett A. and Leinonen, Juho;2024;Proceedings of the 2024 Conference on Innovation and Technology in Computer Science Education (ITiCSE);10.1145/3649217.3653587;https://doi.org/10.1145/3649217.3653587
60;Exploring the Responses of Large Language Models to Beginner Programmers’ Help Requests;"Hellas, Arto and Leinonen, Juho and Sarsa, Sami and Koutcheme, Charles and Kujanp\""{a}\""{a}, Lilja and Sorva, Juha";2023;Proceedings of the 2023 ACM Conference on International Computing Education Research (ICER ’23);10.1145/3568813.3600139;https://doi.org/10.1145/3568813.3600139
61;FastFixer: An Efficient and Effective Approach for Repairing Programming Assignments;Fang Liu and Zhenwei Liu and Qianhui Zhao and Jing Jiang and Li Zhang and Ge Li and Zian Sun and Zhongqi Li and Yuchi Ma;2024;ASE '24: 39th IEEE/ACM International Conference on Automated Software Engineering;10.1145/3691620.3695062;https://doi.org/10.1145/3691620.3695062
62;Feedback-Generation for Programming Exercises With GPT-4;Azaiz, Imen and Kiesler, Natalie and Strickroth, Sven;2024;Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1;10.1145/3649217.3653594;https://doi.org/10.1145/3649217.3653594
63;Generating Situated Reflection Triggers About Alternative Solution Paths: A Case Study of Generative AI for Computer-Supported Collaborative Learning;Naik, Atharva and Yin, Jessica Ruhan and Kamath, Anusha and Ma, Qianou and Wu, Sherry Tongshuang and Murray, Charles and Bogart, Christopher and Sakr, Majd and Rose, Carolyn P.;2024;Artificial Intelligence in Education: 25th International Conference, AIED 2024, Recife, Brazil, July 8–12, 2024, Proceedings, Part I;10.1007/978-3-031-64302-6_4;https://doi.org/10.1007/978-3-031-64302-6_4
64;Generative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors;Phung, Tung and P\u{a}durean, Victor-Alexandru and Cambronero, Jos\'{e} and Gulwani, Sumit and Kohn, Tobias and Majumdar, Rupak and Singla, Adish and Soares, Gustavo;2023;ICER 2023: ACM Conference on International Computing Education Research;10.1145/3568812.3603476;https://doi.org/10.1145/3568812.3603476
65;Generative AI in the Software Modeling Classroom: An Experience Report with ChatGPT and UML;Camara, Javier and Troya, Javier and Montes-Torres, Julio and Jaime, Francisco J.;2024;IEEE Software;10.1109/MS.2024.3385309;https://doi.org/10.1109/MS.2024.3385309
66;GPTutor: A ChatGPT-Powered Programming Tool for Code Explanation;Chen, Eason and Huang, Ray and Chen, Han-Shin and Tseng, Yuen-Hsien and Li, Liang-Yi;2023;Artificial Intelligence in Education. Posters and Late Breaking Results, Workshops and Tutorials, Industry and Innovation Tracks, Practitioners, Doctoral Consortium and Blue Sky;10.1007/978-3-031-36336-8_50;https://doi.org/10.1007/978-3-031-36336-8_50
67;Grading Generative AI-based Assignments Using a 3R Framework;Chan, Henry C. B.;2023;2023 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE);10.1109/TALE56641.2023.10398408;https://doi.org/10.1109/TALE56641.2023.10398408
68;Grading Programming Assignments by Summarization;Dong, Dong and Liang, Yue;2024;Proceedings of the ACM Turing Award Celebration Conference - China 2024;10.1145/3674399.3674426;https://doi.org/10.1145/3674399.3674426
69;Graph Neural Networks for Mapping Variables Between Programs;Orvalho, Pedro and Piepenbrock, Jelle and Janota, Mikoláš and Manquinho, Vasco;2023;ECAI 2023;10.3233/FAIA230468;https://doi.org/10.3233/FAIA230468
70;How Useful TutorBot+ is for Teaching and Learning in Programming Courses: a Preliminary Study;Martínez-Araneda, Claudia and Gutiérrez Valenzuela, Mariella and Gómez Meneses, Pedro and Maldonado Montiel, Diego and Segura Navarrete, Alejandra and Vidal-Castro, Christian;2023;2023 42nd IEEE International Conference of the Chilean Computer Science Society (SCCC);10.1109/SCCC59417.2023.10315697;https://doi.org/10.1109/SCCC59417.2023.10315697
71;Identifying Student Profiles Within Online Judge Systems Using Explainable Artificial Intelligence;Rico-Juan, Juan Ramón and Sánchez-Cartagena, Víctor M. and Valero-Mas, Jose J. and Gallego, Antonio Javier;2023;IEEE Transactions on Learning Technologies;10.1109/TLT.2023.3239110;https://doi.org/10.1109/TLT.2023.3239110
72;Intelligent Deep-Learning Tutoring System to Assist Instructors in Programming Courses;Roldán-Álvarez, David and Mesa, Francisco J.;2024;IEEE Transactions on Education;10.1109/TE.2023.3331055;https://doi.org/10.1109/TE.2023.3331055
73;Investigating the Role of ChatGPT in Supporting Text-Based Programming Education for Students and Teachers;Wieser, Markus and Schoffmann, Klaus and Stefanics, Daniela and Bollin, Andreas and Pasterk, Stefan;2023;Computers and Education: Artificial Intelligence;10.1016/j.caeai.2023.100232;https://doi.org/10.1016/j.caeai.2023.100232
74;Iris: An AI-Driven Virtual Tutor for Computer Science Education;Bassner, Patrick and Frankford, Eduard and Krusche, Stephan;2024;Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1 (ITiCSE 2024);10.1145/3649217.3653543;https://doi.org/10.1145/3649217.3653543
75;JorGPT: Instructor-Aided Grading of Programming Assignments with Large Language Models (LLMs);Jorge Cisneros-González and Natalia Gordo-Herrera and Iván Barcia-Santos and Javier Sánchez-Soriano;2025;Future Internet;10.3390/fi17060265;https://doi.org/10.3390/fi17060265
76;LLM Generative AI and Students' Exam Code Evaluation: Qualitative and Quantitative Analysis;Smolić, E. and Pavelić, M. and Boras, B. and Mekterović, I. and Jagušt, T.;2024;2024 47th ICT and Electronics Convention (MIPRO);10.1109/MIPRO60963.2024.10569820;https://doi.org/10.1109/MIPRO60963.2024.10569820
77;Machine Learning based Code Assessment Systems;Ainapure, Bharati and Pise, Reshma and Singh, Digvijay;2022;2022 5th International Conference on Contemporary Computing and Informatics (IC3I);10.1109/IC3I56241.2022.10072619;https://doi.org/10.1109/IC3I56241.2022.10072619
78;Monitoring and Facilitating Students Programming Skill Development using Robotic Process Automation (RPA) and Artificial Intelligence (AI) – A Case Study;Somasundaram, M. and Sumitra, V. and Vardan, Reddy S P Vijaya and Sakthipriya, B. and Pavithra, K. and Nivedha, M.K.;2022;2022 Fourth International Conference on Emerging Research in Electronics, Computer Science and Technology (ICERECT);10.1109/ICERECT56837.2022.10060772;https://doi.org/10.1109/ICERECT56837.2022.10060772
79;Monitoring Programming Styles in Massive Open Online Courses Using Source Embedding;Matsrostefano, Stefano and Sciarrone, Filippo;2022;2022 26th International Conference Information Visualisation (IV);10.1109/IV56949.2022.00049;https://doi.org/10.1109/IV56949.2022.00049
80;Next-Step Hint Generation for Introductory Programming Using Large Language Models;Roest, Lianne and Keuning, Hieke and Jeuring, Johan;2024;Proceedings of the 26th Australasian Computing Education Conference (ACE '24);10.1145/3636243.3636259;https://doi.org/10.1145/3636243.3636259
